Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
CABECEIRA LETICIA CACAU 158 COR:CACAU,,"1,00","R$ 330,00","R$ 199,00","R$ 131,00","R$ 26,20",,,,,,,,"0,04%","29,94%",A
CABECEIRA PEROLA AZUL LARG.:88,,"1,00","R$ 215,25","R$ 100,00","R$ 115,25","R$ 23,05",,,,,,,,"0,04%","29,98%",A
CABECEIRA PEROLA BEGE LARG.:138,,"1,00","R$ 288,51","R$ 150,00","R$ 138,51","R$ 27,70",,,,,,,,"0,04%","30,02%",A
CABECEIRA PEROLA CINZA LARG.:138,,"3,00","R$ 868,00","R$ 450,00","R$ 418,00","R$ 83,60",,,,,,,,"0,13%","30,15%",A
CABECEIRA PEROLA CINZA LARG.:158,,"1,00","R$ 362,97","R$ 170,00","R$ 192,97","R$ 38,59",,,,,,,,"0,06%","30,21%",A
CABECEIRA PEROLA CINZA LARG.:197,,"1,00","R$ 399,00","R$ 190,00","R$ 209,00","R$ 41,80",,,,,,,,"0,06%","30,28%",A
CABECEIRA PEROLA CINZA LARG.:88,,"2,00","R$ 414,25","R$ 200,00","R$ 214,25","R$ 42,85",,,,,,,,"0,07%","30,34%",A
CABECEIRA PEROLA MARROM TAMANHO:138,,"1,00","R$ 299,00","R$ 150,00","R$ 149,00","R$ 29,80",,,,,,,,"0,05%","30,39%",A
CABECEIRA PEROLA ROSE TAMANHO:88,,"1,00","R$ 182,61","R$ 100,00","R$ 82,61","R$ 16,52",,,,,,,,"0,03%","30,41%",A
CABECEIRA PEROLA VINHO LARG.:88,,"1,00","R$ 188,42","R$ 100,00","R$ 88,42","R$ 17,68",,,,,,,,"0,03%","30,44%",A
CABECEIRA ROSA CASAL ADEMIR,,"1,00","R$ 299,00","R$ 150,00","R$ 149,00","R$ 29,80",,,,,,,,"0,05%","30,49%",A
CABECEIRA SALVADOS,SALVADOS,"1,00","R$ 206,38","R$ 199,00","R$ 7,38","R$ 1,48",,,,,,,,"0,00%","30,49%",A
CADEIRA ALTA TALISMA COR/MATERIAL:ANIMALE BEGE/TABACO,,"4,00","R$ 504,00","R$ 334,96","R$ 169,04","R$ 33,81",,,,,,,,"0,05%","30,54%",A
CADEIRA ALTA TALISMA COR/MATERIAL:EGITO CHOCOLATE,,"4,00","R$ 500,00","R$ 334,96","R$ 165,04","R$ 33,01",,,,,,,,"0,05%","30,59%",A
CADEIRA ALTA TALISMA COR/MATERIAL:SUED CINZA,,"8,00","R$ 1.000,00","R$ 669,92","R$ 330,08","R$ 66,02",,,,,,,,"0,10%","30,70%",A
CADEIRA ALTA TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,,"16,00","R$ 1.726,96","R$ 1.339,84","R$ 387,12","R$ 77,42",,,,,,,,"0,12%","30,82%",A
cadeira de escritorio salvados,SALVADOS,"1,00","R$ 180,00","R$ 180,00","R$ 0,00","R$ 0,00",,,,,,,,"0,00%","30,82%",A
CADEIRA DIAMANTE CANDIAN COR ESTOFADO:LINHO 29033,,"6,00","R$ 1.194,00","R$ 867,36","R$ 326,64","R$ 65,33",,,,,,,,"0,10%","30,92%",A
CADEIRA DIRETOR BEST-C220,,"2,00","R$ 678,00","R$ 349,00","R$ 329,00","R$ 65,80",,,,,,,,"0,10%","31,02%",A
CADEIRA DIRETOR C200 BEST,,"1,00","R$ 399,00","R$ 278,00","R$ 121,00","R$ 24,20",,,,,,,,"0,04%","31,06%",A
CADEIRA EAMES C50 COR:BRANCO,,"2,00","R$ 512,90","R$ 369,60","R$ 143,30","R$ 28,66",,,,,,,,"0,04%","31,10%",A
CADEIRA HORIZONTE CANDIAN ESTOFADO COR:JOLIE 2911-11 MARROM,,"4,00","R$ 940,00","R$ 578,24","R$ 361,76","R$ 72,35",,,,,,,,"0,11%","31,21%",A
CADEIRA ITÁLIA ASSENTO PEQUENO TABACO,,"4,00","R$ 900,00","R$ 452,00","R$ 448,00","R$ 89,60",,,,,,,,"0,14%","31,35%",A
CADEIRA MADRI TALISMA COR/MATERIAL:TECIDO CINZA/TABACO,,"4,00","R$ 756,78","R$ 445,20","R$ 311,58","R$ 62,32",,,,,,,,"0,10%","31,45%",A
CADEIRA MADRI TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,,"24,00","R$ 4.938,94","R$ 2.671,20","R$ 2.267,74","R$ 453,55",,,,,,,,"0,70%","32,15%",A
CADEIRA POP TALISMA COR/MATERIAL:ANIMALE BEGE/TABACO,,"16,00","R$ 1.969,08","R$ 1.187,20","R$ 781,88","R$ 156,38",,,,,,,,"0,24%","32,39%",A
CADEIRA POP TALISMA COR/MATERIAL:EGITO BEGE/TABACO,,"6,00","R$ 870,00","R$ 445,20","R$ 424,80","R$ 84,96",,,,,,,,"0,13%","32,52%",A
CADEIRA RUBIN CANDIAN ESTOFADO COR:LINHO 2904,,"8,00","R$ 1.593,65","R$ 1.156,48","R$ 437,17","R$ 87,43",,,,,,,,"0,14%","32,66%",A
CADEIRA VENEZA TALISMA COR/MATERIAL:CAMURÇA BEGE/TABACO,,"4,00","R$ 440,00","R$ 296,80","R$ 143,20","R$ 28,64",,,,,,,,"0,04%","32,70%",A
CADEIRA VENEZA TALISMA COR/MATERIAL:SUED/TABACO,,"4,00","R$ 375,47","R$ 296,80","R$ 78,67","R$ 15,73",,,,,,,,"0,02%","32,73%",A
CADEIRA VENEZA TALISMA COR/MATERIAL:VELUDO CHOCOLATE/TABACO,,"21,00","R$ 2.835,05","R$ 1.558,20","R$ 1.276,85","R$ 255,37",,,,,,,,"0,40%","33,12%",A
Cama Carioca Paula,,"1,00","R$ 284,91","R$ 91,13","R$ 193,78","R$ 38,76",,,,,,,,"0,06%","33,18%",A
"CAMA DE CASAL BARCELONA MOVELIPE 1,38 COR:AMENDOA",,"1,00","R$ 599,00","R$ 437,00","R$ 162,00","R$ 32,40",,,,,,,,"0,05%","33,23%",A
CAMA JUVENIL CARROS MOVELIPE,,"1,00","R$ 503,78","R$ 309,00","R$ 194,78","R$ 38,96",,,,,,,,"0,06%","33,29%",A
CAMA SOLTEIRO ATENAS (COLCHAO 88 CM) IMBUIA,,"1,00","R$ 300,00","R$ 190,00","R$ 110,00","R$ 22,00",,,,,,,,"0,03%","33,33%",A
Cj Armario Banheiro Sander Monaco 3pt 1gv Esp+Pia,,"2,00","R$ 645,63","R$ 185,08","R$ 460,55","R$ 92,11",,,,,,,,"0,14%","33,47%",A
Cj De Mesa Ciplafe Expert 4 Banq Dobrável 72x72 Salvados,SALVADOS,"1,00","R$ 449,00","R$ 110,98","R$ 338,02","R$ 67,60",,,,,,,,"0,10%","33,57%",A
"Cj Mesa Indekes Lisboa 0,90 4 Cad Linho SALVADOS",SALVADOS,"1,00","R$ 540,00","R$ 180,52","R$ 359,48","R$ 71,90",,,,,,,,"0,11%","33,69%",A
Cj Sala De Jantar Belmov Alice 160cm 6cad Siena SALVADOS,SALVADOS,"1,00","R$ 1.699,00","R$ 571,56","R$ 1.127,44","R$ 225,49",,,,,,,,"0,35%","34,03%",A
CJ SALA JANTAR MADETAL MOSCOU 136CM 4CAD GRECIA 4-172 Cinza SALVADOS,SALVADOS,"1,00","R$ 999,00","R$ 215,40","R$ 783,60","R$ 156,72",,,,,,,,"0,24%","34,28%",A
CJ SL JANTAR RUFATO BERLIM 120 MDFVD 4CD LONDRINA 34607.235.569.19 Graf/Nat/Linho Grafite,SALVADOS,"1,00","R$ 1.000,00","R$ 279,63","R$ 720,37","R$ 144,07",,,,,,,,"0,22%","34,50%",A
Colc Castor Black White Double Face 27 158x198cm,SALVADOS,"1,00","R$ 1.538,02","R$ 564,44","R$ 973,58","R$ 194,72",,,,,,,,"0,30%","34,80%",A
COLCHÃO (BOX) CONJUGADO 188X88X41 D-28,,"1,00","R$ 449,00","R$ 310,46","R$ 138,54","R$ 27,71",,,,,,,,"0,04%","34,85%",A
"COLCHÃO 0,78 FOR SPUMA USADO DO LUCAS",,"1,00","R$ 100,00","R$ 0,00","R$ 100,00","R$ 20,00",,,,,,,,"0,03%","34,88%",A
"COLCHÃO 1,38 CASAL ALT 30 EVALDO MOLA ENSACADA",,"1,00","R$ 600,00","R$ 699,00","-R$ 99,00","-R$ 19,80",,,,,,,,"-0,03%","34,85%",A
"COLCHAO 188X138X20 STRATUS AG 65 BORD. 1,38X20 D65",,"7,00","R$ 4.841,40","R$ 2.693,74","R$ 2.147,66","R$ 429,53",,,,,,,,"0,67%","35,51%",A
Colchao Diference New Nobel 138x188x30 SALVADOS,SALVADOS,"2,00","R$ 2.499,00","R$ 922,54","R$ 1.576,46","R$ 315,29",,,,,,,,"0,49%","36,00%",A
COLCHÃO DREAM GAZIN TAMANHO:130X60,,"1,00","R$ 119,00","R$ 77,84","R$ 41,16","R$ 8,23",,,,,,,,"0,01%","36,01%",A
COLCHÃO DREAM GAZIN TAMANHO:130X70,,"6,00","R$ 811,20","R$ 516,36","R$ 294,84","R$ 58,97",,,,,,,,"0,09%","36,10%",A
COLCHÃO DREAM GAZIN TAMANHO:150X70,,"2,00","R$ 276,55","R$ 182,52","R$ 94,03","R$ 18,81",,,,,,,,"0,03%","36,13%",A
COLCHÃO DREAM GAZIN TAMANHO:188X138,,"12,00","R$ 4.654,97","R$ 2.844,24","R$ 1.810,73","R$ 362,15",,,,,,,,"0,56%","36,69%",A
COLCHÃO DREAM GAZIN TAMANHO:188X78,,"5,00","R$ 990,21","R$ 645,00","R$ 345,21","R$ 69,04",,,,,,,,"0,11%","36,80%",A
COLCHÃO DREAM GAZIN TAMANHO:188X88,,"8,00","R$ 1.899,64","R$ 1.152,00","R$ 747,64","R$ 149,53",,,,,,,,"0,23%","37,03%",A
COLCHAO GAZIN ESPUMA SUPREME D20 TAMANHO:14 X 188 X 78,,"8,00","R$ 1.555,05","R$ 1.112,64","R$ 442,41","R$ 88,48",,,,,,,,"0,14%","37,17%",A
COLCHAO GAZIN ESPUMA SUPREME D20 TAMANHO:14 X 188 X 88,,"3,00","R$ 754,31","R$ 452,34","R$ 301,97","R$ 60,39",,,,,,,,"0,09%","37,26%",A
COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 138,,"6,00","R$ 3.531,97","R$ 2.013,36","R$ 1.518,61","R$ 303,72",,,,,,,,"0,47%","37,73%",A
COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 78,,"2,00","R$ 699,00","R$ 410,92","R$ 288,08","R$ 57,62",,,,,,,,"0,09%","37,82%",A
COLCHAO GAZIN ESPUMA SUPREME D28 TAMANHO:14 X 188 X 88,,"4,00","R$ 1.331,07","R$ 863,16","R$ 467,91","R$ 93,58",,,,,,,,"0,14%","37,97%",A
COLCHÃO HENTARES 78 PRETO,,"1,00","R$ 199,00","R$ 149,50","R$ 49,50","R$ 9,90",,,,,,,,"0,02%","37,98%",A
COLCHÃO MAJESTIC 188X138,,"2,00","R$ 1.998,00","R$ 1.122,34","R$ 875,66","R$ 175,13",,,,,,,,"0,27%","38,25%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:22X188X138,,"1,00","R$ 769,60","R$ 510,00","R$ 259,60","R$ 51,92",,,,,,,,"0,08%","38,33%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:22X198X156,,"3,00","R$ 2.961,31","R$ 1.737,00","R$ 1.224,31","R$ 244,86",,,,,,,,"0,38%","38,71%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE EXCEL CRISTALFLEX TAMANHO:25X203X193,,"2,00","R$ 2.598,00","R$ 1.449,68","R$ 1.148,32","R$ 229,66",,,,,,,,"0,36%","39,07%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X138,,"4,00","R$ 2.907,66","R$ 1.640,00","R$ 1.267,66","R$ 253,53",,,,,,,,"0,39%","39,46%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X188X88,,"6,00","R$ 2.994,00","R$ 1.885,26","R$ 1.108,74","R$ 221,75",,,,,,,,"0,34%","39,80%",A
COLCHÃO MOLA ENSACADA INDIVIDUALMENTE FLASH TAMANHO:22X198X158,,"1,00","R$ 860,65","R$ 521,41","R$ 339,24","R$ 67,85",,,,,,,,"0,11%","39,91%",A
COLCHÃO MOLA POCKET 1P VENNTI 188X138X25CM,,"3,00","R$ 2.613,47","R$ 1.462,05","R$ 1.151,42","R$ 230,28",,,,,,,,"0,36%","40,27%",A
COLCHÃO MOLA POCKET 1P VENNTI 188X88X25CM,,"6,00","R$ 2.908,98","R$ 1.715,46","R$ 1.193,52","R$ 238,70",,,,,,,,"0,37%","40,63%",A
COLCHÃO NUVOLE TAMANHO:188X138,,"3,00","R$ 1.060,61","R$ 597,81","R$ 462,80","R$ 92,56",,,,,,,,"0,14%","40,78%",A
COLCHÃO NUVOLE TAMANHO:188X78,,"11,00","R$ 2.060,03","R$ 1.437,48","R$ 622,55","R$ 124,51",,,,,,,,"0,19%","40,97%",A
COLCHÃO NUVOLE TAMANHO:188X88,,"7,00","R$ 1.412,17","R$ 965,30","R$ 446,87","R$ 89,37",,,,,,,,"0,14%","41,11%",A
colchão queen mola ensacada usado(seu luiz),,"1,00","R$ 700,00","R$ 0,00","R$ 700,00","R$ 140,00",,,,,,,,"0,22%","41,33%",A
"COLCHAO STRATUS AG 65 BORD. 0,88X20 D65",,"7,00","R$ 3.092,59","R$ 1.768,27","R$ 1.324,32","R$ 264,86",,,,,,,,"0,41%","41,74%",A
COMODA 4 GVTS 2 PTS ALBA COR:ANGELIN/ANGELIN/BOUCLE,,"1,00","R$ 776,00","R$ 418,13","R$ 357,87","R$ 71,57",,,,,,,,"0,11%","41,85%",A
COMODA 8 GVTS LARA COR:ANGELIN/ANGELIN/BOUCLE,,"1,00","R$ 679,00","R$ 372,24","R$ 306,76","R$ 61,35",,,,,,,,"0,09%","41,94%",A
COMODA 8 GVTS LARA COR:BRANCO LINE/BRANCO LINE/BOUCLE,,"2,00","R$ 1.292,59","R$ 744,48","R$ 548,11","R$ 109,62",,,,,,,,"0,17%","42,11%",A
COMODA 8 GVTS LARA COR:MACADÂMIA/MACADÂMIA/BOUCLE,,"1,00","R$ 679,00","R$ 372,24","R$ 306,76","R$ 61,35",,,,,,,,"0,09%","42,21%",A
COMODA CAMARIM IDEAL BRANCO,,"2,00","R$ 969,17","R$ 0,00","R$ 969,17","R$ 193,83",,,,,,,,"0,30%","42,51%",A
COMODA CAMARIM BELLA BRANCO,,"3,00","R$ 2.027,00","R$ 1.184,43","R$ 842,57","R$ 168,51",,,,,,,,"0,26%","42,77%",A
Comoda Evidencia Austin 10 Gv salvados,SALVADOS,"2,00","R$ 662,22","R$ 256,56","R$ 405,66","R$ 81,13",,,,,,,,"0,13%","42,89%",A
COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/FREIJO,,"2,00","R$ 1.834,32","R$ 974,40","R$ 859,92","R$ 171,98",,,,,,,,"0,27%","43,16%",A
COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/GRAFITE,,"2,00","R$ 1.965,00","R$ 974,40","R$ 990,60","R$ 198,12",,,,,,,,"0,31%","43,47%",A
COMODA FRANCA SAPATEIRA 3 PTS 2 PTS COR:FREIJO/OFF WHITE,,"1,00","R$ 999,00","R$ 487,20","R$ 511,80","R$ 102,36",,,,,,,,"0,16%","43,62%",A
COMODA GEORGIA MOVAL COR:FREIJO/CINZA,,"1,00","R$ 802,43","R$ 480,26","R$ 322,17","R$ 64,43",,,,,,,,"0,10%","43,72%",A
COMODA GEORGIA MOVAL COR:FREIJO/OFF WHITE,,"2,00","R$ 1.747,00","R$ 960,52","R$ 786,48","R$ 157,30",,,,,,,,"0,24%","43,97%",A
COMODA GRECIA MOPAR COR:FREIJO/GRAFITE,,"6,00","R$ 3.263,00","R$ 1.780,80","R$ 1.482,20","R$ 296,44",,,,,,,,"0,46%","44,43%",A
comoda lara salvados,SALVADOS,"1,00","R$ 651,00","R$ 180,29","R$ 470,71","R$ 94,14",,,,,,,,"0,15%","44,57%",A
Comoda Londres Salvados,SALVADOS,"3,00","R$ 1.001,71","R$ 381,63","R$ 620,08","R$ 124,02",,,,,,,,"0,19%","44,76%",A
COMODA MALTA COR:BRANCO,,"2,00","R$ 826,44","R$ 478,40","R$ 348,04","R$ 69,61",,,,,,,,"0,11%","44,87%",A
COMODA MALTA COR:FREIJO/OFF WHITE,,"2,00","R$ 874,00","R$ 478,40","R$ 395,60","R$ 79,12",,,,,,,,"0,12%","45,00%",A
Comoda Moval Texas 4gv 2pt SALVADOS,SALVADOS,"1,00","R$ 699,00","R$ 195,82","R$ 503,18","R$ 100,64",,,,,,,,"0,16%","45,15%",A
COMODA MS913 MOVELIPE 4G COR:BRANCO - 913440,,"4,00","R$ 1.163,00","R$ 704,00","R$ 459,00","R$ 91,80",,,,,,,,"0,14%","45,29%",A
COMODA MS913 MOVELIPE 4G COR:CASTANHO - 913331,,"2,00","R$ 583,03","R$ 352,00","R$ 231,03","R$ 46,21",,,,,,,,"0,07%","45,36%",A
COMODA MS913 MOVELIPE 4G COR:FREIJO/CINZA - 913031,,"2,00","R$ 605,13","R$ 352,00","R$ 253,13","R$ 50,63",,,,,,,,"0,08%","45,44%",A
COMODA MS913 MOVELIPE 4G COR:FREIJO/OFFWHITE - 913032,,"2,00","R$ 583,45","R$ 352,00","R$ 231,45","R$ 46,29",,,,,,,,"0,07%","45,51%",A
COMODA SAPATEIRA 1 PT 3 GAVTS 1 SP LILLE COR:ANGELIN/ANGELIN/BOUCLE,,"2,00","R$ 880,61","R$ 566,60","R$ 314,01","R$ 62,80",,,,,,,,"0,10%","45,61%",A
COMODA SAPATEIRA 1 PT 3 GAVTS 1 SP LILLE COR:BRANCO LINE/BRANCO LINE/BOUCLE,,"6,00","R$ 2.673,00","R$ 1.699,80","R$ 973,20","R$ 194,64",,,,,,,,"0,30%","45,91%",A
COMODA TEXAS MOPAR COR:BRANCO,,"2,00","R$ 1.328,00","R$ 774,40","R$ 553,60","R$ 110,72",,,,,,,,"0,17%","46,08%",A
COMODA TEXAS MOPAR COR:FREIJO/GRAFITE,,"4,00","R$ 2.782,00","R$ 1.548,80","R$ 1.233,20","R$ 246,64",,,,,,,,"0,38%","46,47%",A
COMODA TEXAS MOPAR COR:FREIJO/OFF WHITE,,"6,00","R$ 4.148,22","R$ 2.323,20","R$ 1.825,02","R$ 365,00",,,,,,,,"0,57%","47,03%",A
COMODA TEXAS MOVAL COR:BRANCO,,"1,00","R$ 720,00","R$ 450,58","R$ 269,42","R$ 53,88",,,,,,,,"0,08%","47,12%",A
COMODA TEXAS MOVAL COR:FREIJO,,"2,00","R$ 1.626,00","R$ 901,16","R$ 724,84","R$ 144,97",,,,,,,,"0,22%","47,34%",A
COMODA TEXAS MOVAL COR:FREIJO/CINZA,,"1,00","R$ 799,00","R$ 450,58","R$ 348,42","R$ 69,68",,,,,,,,"0,11%","47,45%",A
COMODA TEXAS MOVAL COR:FREIJO/OFF WHITE,,"2,00","R$ 1.482,61","R$ 901,16","R$ 581,45","R$ 116,29",,,,,,,,"0,18%","47,63%",A
CONJUNTO MAJESTIC 188X88,,"1,00","R$ 999,00","R$ 573,00","R$ 426,00","R$ 85,20",,,,,,,,"0,13%","47,76%",A
CONJUNTO MESA SL JT SONETTO ISA 120CM VD C/4CAD ELEGANCE (SALVADOS SALA DE JANTAR),SALVADOS,"1,00","R$ 1.199,00","R$ 301,85","R$ 897,15","R$ 179,43",,,,,,,,"0,28%","48,04%",A
COZINHA 4 PECAS/PPIA VOLLARE COR:PRETA,,"1,00","R$ 1.599,00","R$ 821,14","R$ 777,86","R$ 155,57",,,,,,,,"0,24%","48,28%",A
COZINHA COMPACTA CALI COR:MONTANA/AVELÃ,,"1,00","R$ 549,00","R$ 330,40","R$ 218,60","R$ 43,72",,,,,,,,"0,07%","48,35%",A
COZINHA COMPACTA EVELYN COR:ANGELIN/DAMASCO,,"5,00","R$ 3.570,72","R$ 1.928,10","R$ 1.642,62","R$ 328,52",,,,,,,,"0,51%","48,85%",A
COZINHA COMPACTA EVELYN COR:CARVALHO/OFF WHITE,,"5,00","R$ 3.444,07","R$ 1.928,10","R$ 1.515,97","R$ 303,19",,,,,,,,"0,47%","49,32%",A
COZINHA COMPACTA GEÓRGIA CHUMBO/CHUMBO,,"1,00","R$ 1.249,00","R$ 616,40","R$ 632,60","R$ 126,52",,,,,,,,"0,20%","49,52%",A
COZINHA COMPACTA JULLY COR:FREIJO/CHUMBO,,"5,00","R$ 4.904,80","R$ 3.155,00","R$ 1.749,80","R$ 349,96",,,,,,,,"0,54%","50,06%",A
COZINHA COMPACTA JULLY COR:FREIJO/MOKA,,"5,00","R$ 5.271,49","R$ 3.155,00","R$ 2.116,49","R$ 423,30",,,,,,,,"0,66%","50,72%",A
COZINHA COMPACTA SOPHIA COR:ANGELIN/GRAFITE,,"4,00","R$ 2.270,16","R$ 1.363,24","R$ 906,92","R$ 181,38",,,,,,,,"0,28%","51,00%",A
COZINHA COMPACTA TOKYO COR:FREIJO/CHUMBO,,"3,00","R$ 2.997,00","R$ 1.762,47","R$ 1.234,53","R$ 246,91",,,,,,,,"0,38%","51,38%",A
COZINHA COMPACTA TOKYO COR:MONTANA/AVELA,,"1,00","R$ 960,48","R$ 587,49","R$ 372,99","R$ 74,60",,,,,,,,"0,12%","51,50%",A
COZINHA COMPACTA TOKYO COR:NOGAL/BAUNILHA,,"1,00","R$ 999,00","R$ 587,49","R$ 411,51","R$ 82,30",,,,,,,,"0,13%","51,62%",A
COZINHA COMPACTA YARA COR:AMENDOA/NUDE,,"5,00","R$ 2.715,79","R$ 1.557,15","R$ 1.158,64","R$ 231,73",,,,,,,,"0,36%","51,98%",A
COZINHA DÁLIA NEW FREIJO/FUME SALVADOS,SALVADOS,"3,00","R$ 1.944,85","R$ 479,40","R$ 1.465,45","R$ 293,09",,,,,,,,"0,45%","52,44%",A
CRIADO MUDO APOLO MOVELIPE COR:CASTANHO/AVELÃ/OFF FLEX,,"1,00","R$ 188,99","R$ 117,00","R$ 71,99","R$ 14,40",,,,,,,,"0,02%","52,46%",A
CRIADO MUDO AROMA 1G COR:BRANCO,,"5,00","R$ 1.014,30","R$ 556,50","R$ 457,80","R$ 91,56",,,,,,,,"0,14%","52,60%",A
CRIADO MUDO AROMA 1G COR:PRETO,,"3,00","R$ 384,00","R$ 333,90","R$ 50,10","R$ 10,02",,,,,,,,"0,02%","52,62%",A
CRIADO MUDO AROMA 2G COR:BRANCO,,"3,00","R$ 588,00","R$ 368,01","R$ 219,99","R$ 44,00",,,,,,,,"0,07%","52,68%",A
CRIADO MUDO AROMA 2G COR:PRETO,,"2,00","R$ 369,00","R$ 245,34","R$ 123,66","R$ 24,73",,,,,,,,"0,04%","52,72%",A
CRIADO MUDO MILÃO MOPAR COR:FREIJO/OFF WHITE,,"1,00","R$ 180,00","R$ 95,28","R$ 84,72","R$ 16,94",,,,,,,,"0,03%","52,75%",A
Cristaleira Hb Moveis Aura 2pt 1gv C/Led,SALVADOS,"1,00","R$ 899,00","R$ 0,00","R$ 899,00","R$ 179,80",,,,,,,,"0,28%","53,03%",A
Dormitorio Casal Santos Andira Lugano 7pt 2gv Esp,SALVADOS,"1,00","R$ 1.599,00","R$ 664,29","R$ 934,71","R$ 186,94",,,,,,,,"0,29%","53,32%",A
ESCRIVANINHA PENTE PLAY COR:BRANCO,,"4,00","R$ 1.167,00","R$ 788,96","R$ 378,04","R$ 75,61",,,,,,,,"0,12%","53,43%",A
ESCRIVANINHA PENTEADEIRA MONALISA NEW COR:BRANCO BRILHO,,"2,00","R$ 1.020,00","R$ 565,60","R$ 454,40","R$ 90,88",,,,,,,,"0,14%","53,57%",A
Estaçao De Trabalho Zanzini Max 1gv,SALVADOS,"1,00","R$ 199,00","R$ 110,11","R$ 88,89","R$ 17,78",,,,,,,,"0,03%","53,60%",A
ESTANTE AGNE COR:MARROM CRU,,"16,00","R$ 2.634,00","R$ 1.600,00","R$ 1.034,00","R$ 206,80",,,,,,,,"0,32%","53,92%",A
ESTANTE AGNE COR:VARIADA,,"9,00","R$ 1.755,81","R$ 900,00","R$ 855,81","R$ 171,16",,,,,,,,"0,27%","54,19%",A
Estante de Metal/MDP Usada,,"1,00","R$ 349,00","R$ 0,00","R$ 349,00","R$ 69,80",,,,,,,,"0,11%","54,29%",A
ESTANTE SALA DE ESTAR USADA,SALVADOS,"1,00","R$ 600,00","R$ 200,00","R$ 400,00","R$ 80,00",,,,,,,,"0,12%","54,42%",A
ESTOF MACIEL CHILE 3LUG 200CM VELUDO 696.0.668 Veludo Grafite,SALVADOS,"1,00","R$ 1.000,00","R$ 281,57","R$ 718,43","R$ 143,69",,,,,,,,"0,22%","54,64%",A
ESTOF RIU TEXAS 4LUG 290CM 2MOD VELUDO 869 Veludo Cinza,SALVADOS,"1,00","R$ 2.000,00","R$ 557,00","R$ 1.443,00","R$ 288,60",,,,,,,,"0,45%","55,09%",A
ESTOF RIU VENEZA 3LUG 230CM VELUDO 958.15 Veludo Cinza,SALVADOS,"1,00","R$ 1.999,00","R$ 443,39","R$ 1.555,61","R$ 311,12",,,,,,,,"0,48%","55,57%",A
ESTOF VIERO ARTEMIS 3LUG 230CM VELUDO 31023 Veludo Marfim,SALVADOS,"1,00","R$ 899,00","R$ 328,09","R$ 570,91","R$ 114,18",,,,,,,,"0,18%","55,75%",A
FIXAÇÃO DO PAINEL,,"2,00","R$ 87,14","R$ 0,00","R$ 87,14","R$ 17,43",,,,,,,,"0,03%","55,77%",A
FRUTEIRA REGIA COR:BRANCO,,"1,00","R$ 249,00","R$ 128,33","R$ 120,67","R$ 24,13",,,,,,,,"0,04%","55,81%",A
FRUTEIRA REGIA COR:FREIJO C/ BRANCO,,"3,00","R$ 686,78","R$ 384,99","R$ 301,79","R$ 60,36",,,,,,,,"0,09%","55,90%",A
G Roupa Evidencia Treviso 4 Pt 6gv,SALVADOS,"1,00","R$ 499,00","R$ 180,56","R$ 318,44","R$ 63,69",,,,,,,,"0,10%","56,00%",A
G Roupa Aramoveis Coimbra 3pt 2gv Cpes,SALVADOS,"2,00","R$ 769,00","R$ 223,94","R$ 545,06","R$ 109,01",,,,,,,,"0,17%","56,17%",A
G Roupa Aramoveis Coimbra 3pt 2gv Cpes (salvados),SALVADOS,"1,00","R$ 367,81","R$ 111,97","R$ 255,84","R$ 51,17",,,,,,,,"0,08%","56,25%",A
G Roupa Araplac B234818 8pt C/Pes Salvados,SALVADOS,"1,00","R$ 849,00","R$ 298,07","R$ 550,93","R$ 110,19",,,,,,,,"0,17%","56,42%",A
G Roupa Atualle Vitoria 5pt 4gv C/Espelho,SALVADOS,"6,00","R$ 3.470,77","R$ 1.187,34","R$ 2.283,43","R$ 456,69",,,,,,,,"0,71%","57,13%",A
G ROUPA BIANCHI ALVORADA 6PT 6GV 43574.1 Branco,SALVADOS,"1,00","R$ 1.649,00","R$ 416,79","R$ 1.232,21","R$ 246,44",,,,,,,,"0,38%","57,51%",A
G ROUPA BIANCHI BIANCA 6PT 6GV,SALVADOS,"1,00","R$ 1.349,00","R$ 336,24","R$ 1.012,76","R$ 202,55",,,,,,,,"0,31%","57,82%",A
G Roupa Casal Atualle Real 6pt 2gv Esp Pes,SALVADOS,"2,00","R$ 1.087,00","R$ 318,96","R$ 768,04","R$ 153,61",,,,,,,,"0,24%","58,06%",A
